"n","A","F","time"
80,0.7,0.00251256281407035,0.0105
85,0.6,0.00201005025125628,0.0115
90,0.8,0.00150753768844221,0.0089
95,0.9,0.00050251256281407,0.0097
100,0.8,0.00100502512562814,0.3
105,0.8,0.00150753768844221,0.0099
110,0.7,0.00150753768844221,0.9556
115,0.8,0.00100502512562814,0.0106
120,0.9,0.00050251256281407,0.0111
125,1,0.00050251256281407,0.4739
130,1,0,0.0109
135,0.9,0.00100502512562814,0.012
140,1,0,0.0112
145,1,0,0.6225
150,1,0,0.012
155,1,0,0.0121
160,0.9,0.00050251256281407,0.0123
165,1,0,0.0133
170,1,0,0.0136
175,1,0,0.0148
180,1,0,0.0153
185,1,0,0.0151
190,1,0,0.0154
195,1,0,0.0148
200,1,0,0.0151
205,1,0,0.0147
210,1,0,0.0146
215,1,0,0.0163
220,1,0,0.0162
