n,A,F,Time
80,0.7,0.001507538,36.6860086
85,0.8,0.001005025,37.6823243
90,0.5,0.002512563,43.2639715
95,0.6,0.00201005,35.771473
100,0.7,0.001507538,22.0848759
105,0.6,0.00201005,45.3440032
110,0.7,0.001507538,3.6517317
115,0.9,0.000502513,5.1947602
120,0.9,0.000502513,4.9512488
125,0.9,0.000502513,12.9672272
130,0.7,0.001507538,54.5061186
135,0.9,0.000502513,2.8444205
140,1,0,1.7889763
145,0.8,0.001005025,7.8935912
150,1,0,1.9659654
155,1,0,2.3218623
160,0.7,0.001507538,2.9347595
165,1,0,2.7438215
170,1,0,1.1978379
175,1,0,2.371738
180,1,0,2.292323
185,0.9,0.000502513,4.4917578
190,0.9,0.000502513,1.1309565
195,0.8,0.001005025,3.3197631
200,0.8,0.001005025,0.7421166
205,1,0,0.8919729
210,1,0,1.9673695
215,1,0,0.420306
220,0.9,0.000502513,1.1207076
